date,link,title
2016-01-01 00:12:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-tiskem-u-prilezitosti-navstevy-tadzickeho-prezidenta-v-cr-234030.htm,Projev prezidenta republiky při setkání s tiskem u příležitosti návštěvy tádžického prezidenta v ČR
2016-01-30 00:11:00,cz/clanky/projev-prezidenta-republiky-pri-jmenovani-nových-ministru-5945.htm,Projev prezidenta republiky při jmenování nových ministrů
2016-01-30 00:11:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-tiskem-u-prilezitosti-navstevy-francouzskeho-prezidenta-v-cr-829323.htm,Projev prezidenta republiky při setkání s tiskem u příležitosti návštěvy francouzského prezidenta v ČR
2016-01-29 00:11:00,cz/clanky/projev-prezidenta-republiky-pri-velitelskem-shromazdeni-nacelnika-generalniho-stabu-acr-551520.htm,Projev prezidenta republiky při velitelském shromáždění náčelníka Generálního štábu AČR
2016-01-29 00:11:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-tiskem-u-prilezitosti-navstevy-srbskeho-prezidenta-v-cr-294431.htm,Projev prezidenta republiky při setkání s tiskem u příležitosti návštěvy srbského prezidenta v ČR
2016-01-25 00:11:00,cz/clanky/projev-prezidenta-republiky-pri-zaverecne-tiskove-konferenci-v-usteckem-kraji-680164.htm,Projev prezidenta republiky při závěrečné tiskové konferenci v Ústeckém kraji
2016-01-23 00:11:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-se-cleny-zastupitelstva-usteckeho-kraje-za-ucasti-starostu-mest-a-obci-s-rozsirenou-pusobnosti-a-vedoucich-odboru-krajskeho-uradu-190750.htm,Projev prezidenta republiky při setkání se členy Zastupitelstva Ústeckého kraje za účasti starostů měst a obcí s rozšířenou působností a vedoucích odborů Krajského úřadu
2016-01-16 00:11:00,cz/clanky/projev-prezidenta-republiky-pri-prijeti-clenu-ceske-paralympijske-výpravy-z-ria-de-janeira-452146.htm,Projev prezidenta republiky při přijetí členů České paralympijské výpravy z Ria de Janeira
2016-01-16 00:11:00,cz/clanky/projev-prezidenta-republiky-pri-prijeti-velitelu-jednotek-aktivni-zalohy-acr-773311.htm,Projev prezidenta republiky při přijetí velitelů jednotek Aktivní zálohy AČR
2016-01-15 00:11:00,cz/clanky/projev-prezidenta-republiky-pri-„china-investment-forum-2016“-837082.htm,Projev prezidenta republiky při „China investment forum 2016“
2016-01-15 00:11:00,cz/clanky/projev-prezidenta-republiky-pri-dni-podnikatelu-cr.htm,Projev prezidenta republiky při Dni podnikatelů ČR
2016-01-09 00:11:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-predstaviteli-cechu-a-zastupci-hospodarske-komory-cr-343748.htm,Projev prezidenta republiky při setkání s představiteli cechů a zástupci Hospodářské komory ČR
2016-01-02 00:11:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-nove-zvolenými-zastupiteli-moravskoslezskeho-kraje-soucasnými-cleny-rady-kraje-a-starosty-obci-327349.htm,"Projev prezidenta republiky při setkání s nově zvolenými zastupiteli Moravskoslezského kraje, současnými členy rady kraje a starosty obcí"
2016-01-28 00:10:00,cz/clanky/projev-prezidenta-republiky-pri-jmenovani-nových-generalu-99964.htm,Projev prezidenta republiky při jmenování nových generálů
2016-01-28 00:10:00,cz/clanky/projev-prezidenta-republiky-pri-slavnostnim-ceremonialu-udileni-statnich-vyznamenani-ceske-republiky.htm,Projev prezidenta republiky při slavnostním ceremoniálu udílení státních vyznamenání České republiky
2016-01-20 00:10:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-se-cleny-rady-senioru-ceske-republiky-855511.htm,Projev prezidenta republiky při setkání se členy Rady seniorů České republiky
